rank_test_score,mean_f1,std_f1,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_max_features
1,0.6805998692410897,0.008371166434364339,40,3,13,sqrt
2,0.6805206900702535,0.010950437368641656,40,3,8,log2
3,0.6800871836626928,0.008122954937704317,,3,11,sqrt
4,0.6790907619845101,0.012094526606809467,30,1,16,log2
5,0.6790753467702604,0.011876821056506164,,1,17,log2
6,0.6789703199736876,0.011195361454886952,30,2,16,sqrt
7,0.6789223054805977,0.011400810061967444,40,2,14,log2
8,0.6788821296150516,0.011326167248847887,40,5,7,sqrt
9,0.6788582133359358,0.008578620374086271,40,4,3,sqrt
9,0.6788582133359358,0.008578620374086271,30,4,2,sqrt
9,0.6788582133359358,0.008578620374086271,,4,7,sqrt
12,0.6787606508370583,0.009144436452983917,40,3,9,log2
13,0.6785947651664207,0.010266696206653582,,3,17,sqrt
13,0.6785947651664207,0.010266696206653582,40,3,17,log2
15,0.6785320012067325,0.009364533859912141,30,3,10,log2
16,0.6782317624725016,0.009851736170884178,15,5,3,log2
17,0.6767759935868097,0.015324546047892419,,3,3,sqrt
18,0.6767687422518283,0.014826163512947504,30,1,15,sqrt
19,0.6765824125321058,0.010345095908131275,40,3,19,sqrt
20,0.6756343180787321,0.01200068543470566,15,2,8,sqrt
21,0.6756010568198451,0.00942778106276915,,4,17,sqrt
22,0.6754494960895456,0.013831621368361852,30,1,14,log2
22,0.6754494960895456,0.013831621368361852,40,1,14,sqrt
24,0.6752915301825736,0.013146496707111323,20,1,13,sqrt
25,0.6748371998274049,0.012250220879706715,15,1,11,log2
26,0.6733817909852596,0.008070939779872372,40,6,14,log2
27,0.6730729839825491,0.010105404126976981,20,6,12,log2
27,0.6730729839825491,0.010105404126976981,20,6,3,log2
29,0.6730452955285823,0.007908398111279398,15,5,15,sqrt
30,0.6730439054234283,0.008157096468688703,15,6,6,sqrt
31,0.6727871551811664,0.008295057776551748,20,6,17,sqrt
32,0.6725643108316653,0.007912700402184503,15,5,18,sqrt
33,0.6724408464717373,0.00985745884242548,40,4,19,log2
34,0.6721523575333992,0.010423608466656758,,5,15,log2
35,0.6721029737645556,0.009712678884308015,15,3,20,log2
36,0.67209651393594,0.01120244743528929,10,1,3,log2
37,0.6717148459668735,0.011585979653178528,10,2,5,log2
38,0.6716487903043584,0.00837876464305132,15,7,15,sqrt
39,0.6711053361140064,0.011939727610664459,10,1,9,log2
40,0.6709523654178713,0.009996352989722504,20,7,5,log2
40,0.6709523654178713,0.009996352989722504,20,7,12,sqrt
42,0.6709389631301,0.009218763728635589,,7,14,sqrt
42,0.6709389631301,0.009218763728635589,,7,10,sqrt
42,0.6709389631301,0.009218763728635589,40,7,8,sqrt
42,0.6709389631301,0.009218763728635589,30,7,4,log2
46,0.6706668674933116,0.006290897013188868,20,6,18,sqrt
47,0.6705650137326364,0.016366677640709704,40,2,4,log2
48,0.6702541379362112,0.007366003651779881,20,8,18,log2
49,0.6695647766747402,0.016969475755734105,15,1,5,log2
